"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1993,"ME204",0.05,5,"A","A",NA,"ME204",6.2,NA,1
"2","102d",1.1986,"ME204",0.05,5,"A","A",NA,"ME204",6.32,NA,1
"3","103d",1.2,"ME204",0.05,5,"A","A",NA,"ME204",6.23,NA,1
"4","104d",1.2012,"ME204",0.05,5,"A","A",NA,"ME204",6.35,NA,1
"5","105d",1.1976,"ME204",0.05,5,"A","A",NA,"ME204",6.22,NA,1
"6","106d",1.2008,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0447,1
"7","107d",1.1998,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0537,1
"8","108d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0435,1
"9","109d",1.2008,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0539,1
"10","110d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.045,1
"11","111d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",6.31,NA,1
"12","112d",1.1991,"ME204",0.1,10,"B","B",NA,"ME204",6.21,NA,1
"13","113d",1.1993,"ME204",0.1,10,"B","B",NA,"ME204",6.26,NA,1
"14","114d",1.1984,"ME204",0.1,10,"B","B",NA,"ME204",6.16,NA,1
"15","115d",1.2019,"ME204",0.1,10,"B","B",NA,"ME204",6.29,NA,1
"16","116d",1.1998,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0392,1
"17","117d",1.1992,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0422,1
"18","118d",1.1978,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0351,1
"19","119d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0405,1
"20","120d",1.1995,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0373,1
"21","121d",2.9986,"ME204",0.25,10,"A","A",NA,"ME204",6.36,NA,1
"22","122d",3.0024,"ME204",0.25,10,"A","A",NA,"ME204",6.3,NA,1
"23","123d",3.0009,"ME204",0.25,10,"A","A",NA,"ME204",6.14,NA,1
"24","124d",2.9985,"ME204",0.25,10,"A","A",NA,"ME204",6.23,NA,1
"25","125d",3.0011,"ME204",0.25,10,"A","A",NA,"ME204",6.41,NA,1
"26","126d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0155,1
"27","127d",3.0006,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0198,1
"28","128d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0292,1
"29","129d",3.0001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0201,1
"30","130d",3.0006,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.017,1
"31","101d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",6.39,NA,2
"32","102d",1.1994,"ME204",0.05,5,"A","A",NA,"ME204",6.36,NA,2
"33","103d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",6.31,NA,2
"34","104d",1.1998,"ME204",0.05,5,"A","A",NA,"ME204",6.47,NA,2
"35","105d",1.2001,"ME204",0.05,5,"A","A",NA,"ME204",6.34,NA,2
"36","106d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.142,2
"37","107d",1.2005,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1702,2
"38","108d",1.2014,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1913,2
"39","109d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2111,2
"40","110d",1.2013,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.15,2
"41","111d",1.2011,"ME204",0.1,10,"B","B",NA,"ME204",6.38,NA,2
