"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1984,"ME204",0.05,5,"A","A",NA,"ME204",9.98,NA,1
"2","102d",1.1999,"ME204",0.05,5,"A","A",NA,"ME204",9.91,NA,1
"3","103d",1.2005,"ME204",0.05,5,"A","A",NA,"ME204",10.05,NA,1
"4","104d",1.2001,"ME204",0.05,5,"A","A",NA,"ME204",10.03,NA,1
"5","105d",1.2009,"ME204",0.05,5,"A","A",NA,"ME204",9.96,NA,1
"6","106d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0744,1
"7","107d",1.2023,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0827,1
"8","108d",1.1991,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0741,1
"9","109d",1.2015,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0799,1
"10","110d",1.1984,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0778,1
"11","111d",1.1989,"ME204",0.1,10,"B","B",NA,"ME204",10.04,NA,1
"12","112d",1.1991,"ME204",0.1,10,"B","B",NA,"ME204",10.01,NA,1
"13","113d",1.1985,"ME204",0.1,10,"B","B",NA,"ME204",9.97,NA,1
"14","114d",1.2015,"ME204",0.1,10,"B","B",NA,"ME204",10.07,NA,1
"15","115d",1.201,"ME204",0.1,10,"B","B",NA,"ME204",10,NA,1
"16","116d",1.2014,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.054,1
"17","117d",1.1994,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0621,1
"18","118d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0597,1
"19","119d",1.2011,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0611,1
"20","120d",1.2011,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0635,1
"21","121d",3.0006,"ME204",0.25,10,"A","A",NA,"ME204",9.88,NA,1
"22","122d",3.0002,"ME204",0.25,10,"A","A",NA,"ME204",9.82,NA,1
"23","123d",2.9988,"ME204",0.25,10,"A","A",NA,"ME204",9.98,NA,1
"24","124d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",10.14,NA,1
"25","125d",2.9998,"ME204",0.25,10,"A","A",NA,"ME204",10.1,NA,1
