"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1994,"ME204",0.05,5,"A","A",NA,"ME204",17.45,NA,1
"2","102d",1.1997,"ME204",0.05,5,"A","A",NA,"ME204",17.37,NA,1
"3","103d",1.2009,"ME204",0.05,5,"A","A",NA,"ME204",17.43,NA,1
"4","104d",1.2011,"ME204",0.05,5,"A","A",NA,"ME204",17.38,NA,1
"5","105d",1.1994,"ME204",0.05,5,"A","A",NA,"ME204",17.42,NA,1
"6","106d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1309,1
"7","107d",1.199,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1368,1
"8","108d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1243,1
"9","109d",1.1994,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1352,1
"10","110d",1.1987,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.129,1
"11","111d",1.198,"ME204",0.1,10,"B","B",NA,"ME204",8.62,NA,1
"12","112d",1.2008,"ME204",0.1,10,"B","B",NA,"ME204",8.7,NA,1
"13","113d",1.2004,"ME204",0.1,10,"B","B",NA,"ME204",8.72,NA,1
"14","114d",1.1992,"ME204",0.1,10,"B","B",NA,"ME204",8.65,NA,1
"15","115d",1.201,"ME204",0.1,10,"B","B",NA,"ME204",8.71,NA,1
"16","116d",1.2018,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0523,1
"17","117d",1.1974,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0557,1
"18","118d",1.2012,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0552,1
"19","119d",1.2012,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0598,1
"20","120d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.053,1
"21","121d",2.9995,"ME204",0.25,10,"A","A",NA,"ME204",3.43,NA,1
"22","122d",2.9989,"ME204",0.25,10,"A","A",NA,"ME204",3.43,NA,1
"23","123d",2.9991,"ME204",0.25,10,"A","A",NA,"ME204",3.47,NA,1
"24","124d",2.9994,"ME204",0.25,10,"A","A",NA,"ME204",3.52,NA,1
