"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1981,"ME204",0.05,5,"A","A",NA,"ME204",8.78,NA,1
"2","102d",1.2002,"ME204",0.05,5,"A","A",NA,"ME204",8.77,NA,1
"3","103d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",8.79,NA,1
"4","104d",1.1978,"ME204",0.05,5,"A","A",NA,"ME204",8.66,NA,1
"5","105d",1.1983,"ME204",0.05,5,"A","A",NA,"ME204",8.66,NA,1
"6","106d",1.1986,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0658,1
"7","107d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0602,1
"8","108d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0654,1
"9","109d",1.2007,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0658,1
"10","110d",1.1995,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0664,1
"11","111d",1.2002,"ME204",0.1,10,"B","B",NA,"ME204",8.66,NA,1
"12","112d",1.2004,"ME204",0.1,10,"B","B",NA,"ME204",8.8,NA,1
"13","113d",1.1999,"ME204",0.1,10,"B","B",NA,"ME204",8.66,NA,1
"14","114d",1.1989,"ME204",0.1,10,"B","B",NA,"ME204",8.69,NA,1
"15","115d",1.2011,"ME204",0.1,10,"B","B",NA,"ME204",8.72,NA,1
"16","116d",1.2017,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0602,1
"17","117d",1.202,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0499,1
"18","118d",1.2009,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0443,1
"19","119d",1.1998,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0546,1
"20","120d",1.1999,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0516,1
"21","121d",2.9997,"ME204",0.25,10,"A","A",NA,"ME204",8.74,NA,1
"22","122d",2.9997,"ME204",0.25,10,"A","A",NA,"ME204",8.67,NA,1
"23","123d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",8.87,NA,1
"24","124d",2.998,"ME204",0.25,10,"A","A",NA,"ME204",8.61,NA,1
"25","125d",3,"ME204",0.25,10,"A","A",NA,"ME204",8.57,NA,1
"26","126d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0282,1
"27","127d",2.999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0324,1
"28","128d",2.9982,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0147,1
"29","129d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0265,1
"30","130d",2.9969,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0285,1
"31","101d",1.2017,"ME204",0.05,5,"A","A",NA,"ME204",8.88,NA,2
"32","102d",1.2007,"ME204",0.05,5,"A","A",NA,"ME204",8.96,NA,2
"33","103d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",8.89,NA,2
"34","104d",1.2,"ME204",0.05,5,"A","A",NA,"ME204",8.77,NA,2
"35","105d",1.1998,"ME204",0.05,5,"A","A",NA,"ME204",8.8,NA,2
"36","106d",1.1983,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0669,2
"37","107d",1.1991,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0612,2
"38","108d",1.201,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0663,2
"39","109d",1.1988,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0668,2
"40","110d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0674,2
"41","111d",1.1993,"ME204",0.1,10,"B","B",NA,"ME204",8.76,NA,2
"42","112d",1.2012,"ME204",0.1,10,"B","B",NA,"ME204",8.91,NA,2
"43","113d",1.1998,"ME204",0.1,10,"B","B",NA,"ME204",8.82,NA,2
"44","114d",1.2006,"ME204",0.1,10,"B","B",NA,"ME204",8.79,NA,2
"45","115d",1.2008,"ME204",0.1,10,"B","B",NA,"ME204",8.78,NA,2
"46","116d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0612,2
"47","117d",1.1989,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.051,2
"48","118d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0452,2
"49","119d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0555,2
"50","120d",1.2014,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0525,2
"51","121d",2.9995,"ME204",0.25,10,"A","A",NA,"ME204",8.86,NA,2
"52","122d",2.9997,"ME204",0.25,10,"A","A",NA,"ME204",8.72,NA,2
"53","123d",3.0007,"ME204",0.25,10,"A","A",NA,"ME204",8.9,NA,2
"54","124d",2.9993,"ME204",0.25,10,"A","A",NA,"ME204",8.7,NA,2
"55","125d",3,"ME204",0.25,10,"A","A",NA,"ME204",8.61,NA,2
"56","126d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0291,2
"57","127d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0333,2
"58","128d",2.9988,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0157,2
"59","129d",3.0003,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0277,2
"60","130d",2.9997,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0295,2
"61","101d",1.198,"ME204",0.05,5,"A","A",NA,"ME204",8.91,NA,3
"62","102d",1.2003,"ME204",0.05,5,"A","A",NA,"ME204",8.86,NA,3
"63","103d",1.2001,"ME204",0.05,5,"A","A",NA,"ME204",8.85,NA,3
"64","104d",1.1983,"ME204",0.05,5,"A","A",NA,"ME204",8.84,NA,3
"65","105d",1.1995,"ME204",0.05,5,"A","A",NA,"ME204",8.75,NA,3
"66","106d",1.1998,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.066,3
"67","107d",1.1994,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0602,3
"68","108d",1.2006,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0655,3
"69","109d",1.1984,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.066,3
"70","110d",1.199,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0665,3
"71","111d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",8.83,NA,3
"72","112d",1.2014,"ME204",0.1,10,"B","B",NA,"ME204",8.89,NA,3
"73","113d",1.1998,"ME204",0.1,10,"B","B",NA,"ME204",8.74,NA,3
"74","114d",1.199,"ME204",0.1,10,"B","B",NA,"ME204",8.81,NA,3
"75","115d",1.2015,"ME204",0.1,10,"B","B",NA,"ME204",8.87,NA,3
"76","116d",1.1998,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0604,3
"77","117d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0501,3
"78","118d",1.2011,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0443,3
"79","119d",1.2004,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0546,3
"80","120d",1.2013,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0519,3
"81","121d",2.9992,"ME204",0.25,10,"A","A",NA,"ME204",8.98,NA,3
"82","122d",3.0016,"ME204",0.25,10,"A","A",NA,"ME204",8.72,NA,3
"83","123d",2.9982,"ME204",0.25,10,"A","A",NA,"ME204",8.96,NA,3
"84","124d",2.999,"ME204",0.25,10,"A","A",NA,"ME204",8.76,NA,3
"85","125d",2.9994,"ME204",0.25,10,"A","A",NA,"ME204",8.69,NA,3
"86","126d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0283,3
"87","127d",2.9995,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0325,3
"88","128d",3.0006,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0148,3
"89","129d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0265,3
"90","130d",3.0007,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0285,3
