"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.2002,"ME204",0.05,5,"A","A",NA,NA,7.78,NA,1
"2","102d",1.1989,"ME204",0.05,5,"A","A",NA,NA,7.74,NA,1
"3","103d",1.2007,"ME204",0.05,5,"A","A",NA,NA,7.76,NA,1
"4","104d",1.1996,"ME204",0.05,5,"A","A",NA,NA,7.82,NA,1
"5","105d",1.1993,"ME204",0.05,5,"A","A",NA,NA,7.89,NA,1
"6","106d",1.1997,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0629,1
"7","107d",1.2019,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0683,1
"8","108d",1.1982,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0562,1
"9","109d",1.1997,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0681,1
"10","110d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0543,1
"11","111d",1.1995,"ME204",0.1,10,"B","B",NA,NA,7.81,NA,1
"12","112d",1.1996,"ME204",0.1,10,"B","B",NA,NA,7.78,NA,1
"13","113d",1.2004,"ME204",0.1,10,"B","B",NA,NA,7.74,NA,1
"14","114d",1.2002,"ME204",0.1,10,"B","B",NA,NA,7.75,NA,1
"15","115d",1.1993,"ME204",0.1,10,"B","B",NA,NA,8.01,NA,1
"16","116d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0502,1
"17","117d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0597,1
"18","118d",1.2007,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0468,1
"19","119d",1.1987,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0436,1
"20","120d",1.1992,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0469,1
"21","121d",2.9998,"ME204",0.25,10,"A","A",NA,NA,7.83,NA,1
"22","122d",3.001,"ME204",0.25,10,"A","A",NA,NA,7.78,NA,1
"23","123d",2.9995,"ME204",0.25,10,"A","A",NA,NA,7.78,NA,1
"24","124d",2.999,"ME204",0.25,10,"A","A",NA,NA,7.85,NA,1
"25","125d",3.0008,"ME204",0.25,10,"A","A",NA,NA,7.76,NA,1
"26","126d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0352,1
"27","127d",2.9988,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0206,1
"28","128d",3.002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0331,1
"29","129d",3.0015,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.033,1
"30","130d",2.9986,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.028,1
"31","101d",1.2022,"ME204",0.05,5,"A","A",NA,NA,7.81,NA,2
"32","102d",1.1983,"ME204",0.05,5,"A","A",NA,NA,7.87,NA,2
"33","103d",1.2001,"ME204",0.05,5,"A","A",NA,NA,7.81,NA,2
"34","104d",1.1989,"ME204",0.05,5,"A","A",NA,NA,7.92,NA,2
"35","105d",1.1996,"ME204",0.05,5,"A","A",NA,NA,7.94,NA,2
"36","106d",1.1997,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0629,2
"37","107d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0683,2
"38","108d",1.1989,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0562,2
"39","109d",1.1972,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0682,2
"40","110d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0545,2
"41","111d",1.1993,"ME204",0.1,10,"B","B",NA,NA,7.97,NA,2
"42","112d",1.2002,"ME204",0.1,10,"B","B",NA,NA,7.86,NA,2
"43","113d",1.1992,"ME204",0.1,10,"B","B",NA,NA,7.8,NA,2
"44","114d",1.2008,"ME204",0.1,10,"B","B",NA,NA,7.82,NA,2
"45","115d",1.2,"ME204",0.1,10,"B","B",NA,NA,8.03,NA,2
"46","116d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0502,2
"47","117d",1.199,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0596,2
"48","118d",1.1998,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0467,2
"49","119d",1.2003,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0436,2
"50","120d",1.1999,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0469,2
"51","121d",3.0017,"ME204",0.25,10,"A","A",NA,NA,7.87,NA,2
"52","122d",2.998,"ME204",0.25,10,"A","A",NA,NA,7.77,NA,2
"53","123d",3.0008,"ME204",0.25,10,"A","A",NA,NA,7.81,NA,2
"54","124d",3,"ME204",0.25,10,"A","A",NA,NA,7.94,NA,2
"55","125d",3.0009,"ME204",0.25,10,"A","A",NA,NA,7.84,NA,2
"56","126d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0352,2
"57","127d",2.9973,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0206,2
"58","128d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.033,2
"59","129d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.033,2
"60","130d",2.999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0281,2
"61","101d",1.1993,"ME204",0.05,5,"A","A",NA,NA,7.95,NA,3
"62","102d",1.2001,"ME204",0.05,5,"A","A",NA,NA,7.79,NA,3
"63","103d",1.2025,"ME204",0.05,5,"A","A",NA,NA,7.82,NA,3
"64","104d",1.2002,"ME204",0.05,5,"A","A",NA,NA,7.91,NA,3
"65","105d",1.199,"ME204",0.05,5,"A","A",NA,NA,7.94,NA,3
"66","106d",1.2019,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.063,3
"67","107d",1.1996,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0684,3
"68","108d",1.1992,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0562,3
"69","109d",1.1988,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0681,3
"70","110d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0542,3
"71","111d",1.2019,"ME204",0.1,10,"B","B",NA,NA,7.86,NA,3
"72","112d",1.2009,"ME204",0.1,10,"B","B",NA,NA,7.82,NA,3
"73","113d",1.2007,"ME204",0.1,10,"B","B",NA,NA,7.78,NA,3
"74","114d",1.2001,"ME204",0.1,10,"B","B",NA,NA,7.82,NA,3
"75","115d",1.2003,"ME204",0.1,10,"B","B",NA,NA,8.09,NA,3
"76","116d",1.2006,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0502,3
"77","117d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0597,3
"78","118d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.047,3
"79","119d",1.201,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0437,3
"80","120d",1.1998,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0469,3
"81","121d",3.0003,"ME204",0.25,10,"A","A",NA,NA,7.84,NA,3
"82","122d",2.9991,"ME204",0.25,10,"A","A",NA,NA,7.85,NA,3
"83","123d",3.0016,"ME204",0.25,10,"A","A",NA,NA,7.82,NA,3
"84","124d",3.0014,"ME204",0.25,10,"A","A",NA,NA,7.9,NA,3
"85","125d",2.9982,"ME204",0.25,10,"A","A",NA,NA,7.85,NA,3
"86","126d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0352,3
"87","127d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0205,3
"88","128d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0332,3
"89","129d",3.0008,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0331,3
"90","130d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0282,3
