"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"1","101d",1.1988,"ME204",0.05,5,"A","A",NA,"ME204",9.86,NA,1
"2","102d",1.2003,"ME204",0.05,5,"A","A",NA,"ME204",9.79,NA,1
"3","103d",1.1985,"ME204",0.05,5,"A","A",NA,"ME204",9.83,NA,1
"4","104d",1.2006,"ME204",0.05,5,"A","A",NA,"ME204",9.78,NA,1
"5","105d",1.2007,"ME204",0.05,5,"A","A",NA,"ME204",9.76,NA,1
"6","106d",1.1981,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0775,1
"7","107d",1.2009,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0838,1
"8","108d",1.1998,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0769,1
"9","109d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.078,1
"10","110d",1.2004,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0772,1
"11","111d",1.2013,"ME204",0.1,10,"B","B",NA,"ME204",9.84,NA,1
"12","112d",1.2016,"ME204",0.1,10,"B","B",NA,"ME204",9.75,NA,1
"13","113d",1.1988,"ME204",0.1,10,"B","B",NA,"ME204",9.84,NA,1
"14","114d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",9.85,NA,1
"15","115d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",9.82,NA,1
"16","116d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0571,1
"17","117d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0595,1
"18","118d",1.1977,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0672,1
"19","119d",1.1997,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0546,1
"20","120d",1.1988,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0596,1
"21","121d",3,"ME204",0.25,10,"A","A",NA,"ME204",9.81,NA,1
"22","122d",2.9992,"ME204",0.25,10,"A","A",NA,"ME204",9.77,NA,1
"23","123d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",9.73,NA,1
"24","124d",2.9993,"ME204",0.25,10,"A","A",NA,"ME204",9.89,NA,1
"25","125d",2.9996,"ME204",0.25,10,"A","A",NA,"ME204",9.82,NA,1
"26","126d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0399,1
"27","127d",3.0013,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0319,1
"28","128d",3.0007,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0278,1
"29","129d",2.9998,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0287,1
"30","130d",2.9988,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0311,1
